subcategory_name,character_name,vote_count,mbti,eneagrama,grupo
Death Note,Light Yagami,15439,ENTJ, 1w2,Analista
Bungou Stray Dogs,Osamu Dazai,14168,ENTP, 7w8,Analista
Naruto Shippūden,Sasuke Uchiha,13899,INTJ, 3w4,Analista
Chainsaw Man,Makima,13695,ENFJ, 2w1,Diplomatico
Death Note,L,13436,INTP, 5w4,Analista
Naruto Shippūden,Naruto Uzumaki,11921,ENFP, 3w2,Diplomatico
Neon Genesis Evangelion,Asuka Langley Soryu,11503,ENTJ, 3w4,Analista
Shingeki no Kyojin,Levi Ackerman,10612,ISTP, 6w5,Explorador
Boku no Hero Academia,Katsuki Bakugo,10608,ENTJ, 8w7,Analista
Yakusoku no Neverland,Ray,10509,INTP, 5w6,Analista
Shingeki no Kyojin,Eren Yeager,10079,ISFP, 6w7,Explorador
Bungou Stray Dogs,Ryunosuke Akutagawa,9720,ISFP, 4w3,Explorador
Hunter X Hunter,Killua Zoldyck,9200,INTP, 6w5,Analista
Neon Genesis Evangelion,Shinji Ikari,8789,INFP, 6w5,Diplomatico
Shingeki no Kyojin,Armin Arlert,7961,INFJ, 6w5,Diplomatico
Ansatsu Kyoushitsu,Karma Akabane,7705,ENTP, 8w7,Analista
Jujutsu Kaisen,Satoru Gojo,7562,ENTP, 7w8,Analista
Boku no Hero Academia,Izuku Midoriya “Deku”,7358,INFJ, 6w5,Diplomatico
Saiki Kusuo no Psi-nan,Saiki Kusuo,7113,INTP, 5w6,Analista
Jujutsu Kaisen,Yuji Itadori,6863,ISFP, 7w6,Explorador
Shingeki no Kyojin,Mikasa Ackerman,6458,ISTJ, 6w5,Sentinela
Death Note,Mello,6380,ENFP, 4w3,Diplomatico
Howl no Ugoku Shiro,Howl Jenkins Pendragon,6341,ENFP, 4w3,Diplomatico
Boku no Hero Academia,Shoto Todoroki,6210,INTJ, 1w9,Analista
Tokyo Revengers,"Manjirou ""Mikey"" Sano",6064,INTP, 9w8,Analista
Haikyuu!!,Kozume Kenma,6056,INTP, 5w4,Analista
Neon Genesis Evangelion,Misato Katsuragi,5777,ENFP, 2w3,Diplomatico
Kimetsu no Yaiba,Inosuke Hashibira,5726,ESTP, 8w7,Explorador
Chainsaw Man,Denji,5620,ESTP, 9w8,Explorador
Shingeki no Kyojin,Historia Reiss (Christa Lenz),5608,ESFJ, 2w3,Sentinela
Bungou Stray Dogs,Chuuya Nakahara,5587,ESTP, 8w7,Explorador
Kimetsu no Yaiba,Tanjiro Kamado,5574,ENFJ, 1w2,Diplomatico
Bungou Stray Dogs,Ranpo Edogawa,5560,INTP, 5w4,Analista
Kimetsu no Yaiba,Shinobu Kocho,5557,INTJ, 1w2,Analista
Hunter X Hunter,Hisoka Morow,5541,ENTP, 7w8,Analista
Hunter X Hunter,Gon Freecss,5485,ESFP, 8w7,Explorador
Code Geass,Lelouch vi Britannia,5461,INTJ, 8w7,Analista
Tokyo Revengers,"Ken ""Draken"" Ryuguji",5436,ESTP, 9w8,Explorador
Death Note,Misa Amane,5417,ESFP, 2w3,Explorador
Haikyuu!!,Oikawa Tooru,5393,ENFJ, 3w4,Diplomatico
Hunter X Hunter,Kurapika,5348,INTJ, 1w9,Analista
Neon Genesis Evangelion,Rei Ayanami,5316,ISTJ, 9w1,Sentinela
Bungou Stray Dogs,Atsushi Nakajima,5310,INFP, 6w7,Diplomatico
Hunter X Hunter,Chrollo Lucilfer,5097,INFJ, 5w4,Diplomatico
Shingeki no Kyojin,Hange Zoë,5058,ENTP, 7w6,Analista
Jujutsu Kaisen,Megumi Fushiguro,4858,ISTJ, 1w9,Sentinela
Kakegurui,Yumeko Jabami,4836,ESTP, 7w8,Explorador
Neon Genesis Evangelion,Kaworu Nagisa,4764,INFJ, 2w1,Diplomatico
Death Note,Near,4692,INTJ, 5w6,Analista
Tokyo Revengers,Chifuyu Matsuno,4667,INFP, 6w7,Diplomatico
SK∞,Reki Kyan,4444,ENFP, 7w6,Diplomatico
Mahou Shoujo Madoka★Magica,Homura Akemi,4438,INTJ, 5w4,Analista
Bungou Stray Dogs,Fyodor Dostoevsky,4402,INTJ, 1w9,Analista
Shingeki no Kyojin,Erwin Smith,4332,ENTJ, 1w2,Analista
Naruto Shippūden,Itachi Uchiha,4308,INFJ, 1w9,Diplomatico
Kimetsu no Yaiba,Zenitsu Agatsuma,4247,ISFP, 6w7,Explorador
Yakusoku no Neverland,Norman,4235,INFJ, 1w2,Diplomatico
Vanitas no Carte,Vanitas,4190,ENTP, 7w8,Analista
Haikyuu!!,Miya Atsumu,4179,ESTP, 8w7,Explorador
SK∞,Langa Hasegawa,4072,ISTJ, 9w1,Sentinela
Haikyuu!!,Hinata Shoyo,4065,ESFP, 7w8,Explorador
Jujutsu Kaisen,Nobara Kugisaki,4048,ESTJ, 8w7,Sentinela
Devilman Crybaby,Ryo Asuka,4027,ENTJ, 8w9,Analista
